Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000372818, 0.000237685, 0.000134503, 2.3271e-05, 2534, 2122, 1107
0.000421065, 0.000216496, 0.000203217, 3.1943e-05, 2501, 2100, 1107
0.000340204, 0.000200404, 0.00013935, 1.8926e-05, 2550, 2016, 984
0.000335948, 0.000191261, 0.000144267, 2.2741e-05, 2481, 1905, 1107
0.000307039, 0.000178383, 0.000128125, 2.4264e-05, 2476, 1743, 1230
0.000372258, 0.000189067, 0.000182689, 2.8397e-05, 2419, 1754, 1107
7.2269e-05, 4.3259e-05, 2.8579e-05, 1.4721e-05, 2443, 43, 615
6.3687e-05, 4.0946e-05, 2.179e-05, 9.201e-06, 2488, 37, 369
6.7242e-05, 4.2668e-05, 2.3823e-05, 1.1865e-05, 2488, 39, 369
5.7619e-05, 4.0045e-05, 1.6843e-05, 7.37e-06, 2484, 31, 246
6.8644e-05, 4.2868e-05, 2.5195e-05, 1.2668e-05, 2581, 31, 492
6.0082e-05, 4.356e-05, 1.6182e-05, 7.49e-06, 2639, 29, 246
5.9692e-05, 4.372e-05, 1.5561e-05, 7.4e-06, 2597, 24, 246
5.5826e-05, 4.0996e-05, 1.423e-05, 5.027e-06, 2618, 20, 123
4.9478e-05, 3.9514e-05, 9.593e-06, 3.755e-06, 2591, 17, 123
6.8063e-05, 6.4018e-05, 3.344e-06, 0, 2555, 12, 0
6.517e-05, 4.9247e-05, 1.4621e-05, 7.21e-06, 2481, 8, 123
4.7675e-05, 3.7712e-05, 9.553e-06, 4.896e-06, 2528, 9, 123
4.2549e-05, 3.9444e-05, 2.704e-06, 0, 2514, 15, 0
8.3094e-05, 4.6464e-05, 3.6119e-05, 1.9457e-05, 2542, 8, 369
6.2316e-05, 4.6854e-05, 1.4289e-05, 6.839e-06, 2483, 9, 123
4.35e-05, 3.7672e-05, 5.427e-06, 2.934e-06, 2501, 2, 123
4.0005e-05, 3.8172e-05, 7.51e-07, 0, 2619, 3, 0
4.6775e-05, 3.8212e-05, 8.041e-06, 3.625e-06, 2602, 5, 123
4.1648e-05, 4.0075e-05, 9.11e-07, 0, 2662, 4, 0
